isoform_id,1,10,11,13,14,25,26,31,36,4,42,45,46,53,54,55,57,61,7,9
XM_016912974.1,36.12,195.37,76.20,78.10,46.10,41.31,7.36,33.00,43.18,21.24,86.35,84.18,20.95,45.14,95.64,74.07,8.20,0.00,48.91,28.70
XM_394967.6,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
XM_006558386.2,606.51,60.64,479.12,257.52,475.79,234.35,187.21,280.30,458.17,327.60,499.92,263.67,407.47,165.25,284.00,447.75,403.34,241.61,270.30,78.11
XM_003251077.3,182.15,200.83,182.26,56.90,142.22,150.62,108.38,227.04,179.64,87.34,107.05,144.68,137.81,254.59,131.65,174.55,188.78,114.26,112.49,0.00
XM_006565110.2,430.99,320.00,389.23,247.45,407.00,357.00,257.00,609.43,449.00,322.07,378.37,531.29,437.67,531.00,481.00,461.99,377.00,489.00,336.03,45.01
XM_016917785.1,2.57,0.00,7.00,247.65,13.18,84.39,4.52,12.88,94.41,0.00,1.36,3.00,7.18,4.66,0.00,286.07,8.01,3.00,2.61,0.00
XM_016911259.1,26.00,38.00,32.00,25.00,29.00,53.00,28.00,64.00,40.00,18.00,18.00,11.00,13.00,41.00,15.00,30.00,43.00,44.00,32.00,1.00
XM_006570677.2,203.15,0.00,173.36,88.58,165.07,0.00,19.79,36.76,52.12,284.56,314.12,77.29,12.95,89.93,127.34,0.00,220.99,90.57,129.21,27.89
XM_006569854.2,288.11,133.74,319.01,319.01,226.35,308.73,370.45,514.51,380.65,185.24,255.21,226.36,354.14,236.54,164.52,246.98,288.14,401.30,370.27,20.58
XM_016914770.1,242.10,0.00,181.56,58.96,172.55,76.21,0.00,213.93,86.97,9.59,82.28,158.48,88.54,179.84,141.28,136.69,63.53,52.63,52.00,0.00
XR_001706280.1,14.26,2.20,4.04,17.89,4.76,21.52,13.45,14.48,0.00,0.00,7.92,0.00,24.84,0.00,18.80,10.65,15.69,0.00,19.35,0.00
XM_016911766.1,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
XM_006562282.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
XM_006568828.2,0.00,0.00,0.00,0.00,0.00,50.62,92.94,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,138.97,0.00,0.00
XM_006567279.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
XM_016915680.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
XR_001704489.1,0.00,0.00,0.00,0.00,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
XM_001120607.4,100.33,152.27,165.89,95.85,144.08,171.46,100.12,265.25,164.38,31.84,78.16,149.67,150.22,340.58,124.69,126.32,77.53,196.58,74.42,7.58
XR_001702100.1,27.09,0.00,16.82,0.00,5.05,18.50,0.00,18.28,5.37,6.85,15.55,6.74,2.28,17.48,8.05,5.08,15.45,5.91,10.72,4.03
XM_397261.6,895.15,1395.31,1150.38,872.63,858.00,1206.03,789.77,1668.00,1329.46,1001.32,961.42,1483.27,1132.05,1716.14,1225.93,1343.98,1006.53,1389.84,1085.12,78.82
XR_001705992.1,9.96,0.00,8.93,16.21,6.29,10.00,10.96,25.29,4.38,5.13,16.05,0.00,2.65,12.11,6.92,17.76,5.75,18.85,8.04,0.00
XM_006563657.2,5.00,2.00,2.00,10.00,0.00,0.00,14.00,0.00,0.00,4.00,0.00,2.00,6.00,1.00,3.00,2.00,5.00,0.00,3.00,0.00
XM_016912529.1,12.00,36.00,46.00,19.00,9.00,7.00,11.00,8.00,42.00,49.00,74.00,26.00,13.00,30.00,76.00,8.00,13.00,47.00,5.00,2.00
XM_003249107.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
